acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4357,-147,74,-93,11,1,2024-01-29 16:38:00,0.0
4338,-193,151,-78,2,-1,2024-01-29 16:38:00,0.0
4368,-217,128,-103,33,0,2024-01-29 16:38:00,0.0
4354,-204,171,-99,-12,-11,2024-01-29 16:38:00,0.0
4333,-205,182,-79,-54,-9,2024-01-29 16:38:00,0.0
4348,-138,162,-67,-33,-10,2024-01-29 16:38:00,0.0
4297,-150,202,-96,-28,-8,2024-01-29 16:38:00,0.0
4359,-137,157,-101,-8,3,2024-01-29 16:38:00,0.0
4279,-202,206,-77,-49,10,2024-01-29 16:38:00,0.0
4359,-181,100,-47,-69,9,2024-01-29 16:38:00,0.0
4339,-142,143,-28,-106,-8,2024-01-29 16:38:00,0.0
4299,-154,62,-57,-141,7,2024-01-29 16:38:00,0.0
4432,-266,8,-8,-188,35,2024-01-29 16:38:00,0.0
4335,-225,128,35,-194,15,2024-01-29 16:38:00,0.0
4325,-138,-62,-12,-258,-17,2024-01-29 16:38:00,0.0
4281,-222,-95,17,-229,2,2024-01-29 16:38:00,0.0
4302,-125,-118,11,-209,2,2024-01-29 16:38:01,0.0
4414,-137,-223,2,-14,9,2024-01-29 16:38:01,0.0
4351,-129,-85,-16,-17,9,2024-01-29 16:38:01,0.0
4354,-195,-136,-43,21,16,2024-01-29 16:38:01,0.0
4318,-161,-146,-28,32,11,2024-01-29 16:38:01,0.0
4354,-96,-67,-46,3,0,2024-01-29 16:38:01,0.0
4292,-111,-142,-53,5,5,2024-01-29 16:38:01,0.0
4353,-155,-116,-60,7,10,2024-01-29 16:38:01,0.0
4353,-175,-111,-35,-14,5,2024-01-29 16:38:01,0.0
4320,-151,-144,2,-44,14,2024-01-29 16:38:01,0.0
4319,-169,-171,9,-234,20,2024-01-29 16:38:01,0.0
4287,-91,-193,-41,-115,93,2024-01-29 16:38:01,0.0
4458,-375,-172,-12,-64,140,2024-01-29 16:38:01,0.0
4294,-300,10,-8,-8,141,2024-01-29 16:38:01,0.0
4435,-239,-63,59,-44,92,2024-01-29 16:38:01,0.0
4353,-242,-235,-9,-57,19,2024-01-29 16:38:01,0.0
4398,-275,-239,-19,2,-24,2024-01-29 16:38:01,0.0
4331,-216,-148,-10,51,-32,2024-01-29 16:38:01,0.0
4322,-198,-152,-31,16,-52,2024-01-29 16:38:02,0.0
4331,-320,-17,-47,-84,-63,2024-01-29 16:38:02,0.0
4486,-115,-191,-84,68,-44,2024-01-29 16:38:02,0.0
4209,-335,44,-32,84,-16,2024-01-29 16:38:02,0.0
4406,-174,-109,-7,86,-15,2024-01-29 16:38:02,0.0
4324,-207,-50,9,148,-4,2024-01-29 16:38:02,0.0
4356,-227,13,23,152,9,2024-01-29 16:38:02,0.0
4304,-165,69,-25,126,23,2024-01-29 16:38:02,0.0
4298,-124,83,-28,34,26,2024-01-29 16:38:02,0.0
4405,-161,96,-12,-13,43,2024-01-29 16:38:02,0.0
4401,-364,15,30,-32,23,2024-01-29 16:38:02,0.0
4320,-45,138,-14,-62,15,2024-01-29 16:38:02,0.0
4353,-297,53,-3,-79,35,2024-01-29 16:38:02,0.0
4310,-171,97,-43,-182,-12,2024-01-29 16:38:02,0.0
4371,-199,26,-33,-103,-3,2024-01-29 16:38:02,
4278,-279,-51,-10,-107,13,2024-01-29 16:38:02,0.0
4403,-220,-1,-23,-128,-2,2024-01-29 16:38:02,0.0
4507,-113,-77,-61,-194,-1,2024-01-29 16:38:03,0.0
4168,-453,138,-28,35,-4,2024-01-29 16:38:03,0.0
4389,-34,54,1,-58,-21,2024-01-29 16:38:03,0.0
4319,-282,-161,16,-63,-16,2024-01-29 16:38:03,0.0
4276,-163,-40,0,39,-11,2024-01-29 16:38:03,0.0
4394,-180,2,-35,-76,-4,2024-01-29 16:38:03,0.0
4425,-211,-93,-43,-21,8,2024-01-29 16:38:03,0.0
4257,-125,30,-22,39,48,2024-01-29 16:38:03,0.0
4347,-334,-179,-9,45,32,2024-01-29 16:38:03,0.0
4278,-192,10,-3,25,39,2024-01-29 16:38:03,0.0
4342,-174,63,-12,-90,34,2024-01-29 16:38:03,0.0
4346,-88,-131,-70,-103,10,2024-01-29 16:38:03,0.0
4351,-273,-141,-89,-123,14,2024-01-29 16:38:03,0.0
4340,-237,-137,-63,-129,-15,2024-01-29 16:38:03,0.0
4375,-233,-93,-11,-78,-32,2024-01-29 16:38:03,0.0
4371,-82,-162,-24,8,-2,2024-01-29 16:38:03,0.0
4278,-246,-149,-30,16,-2,2024-01-29 16:38:03,0.0
4329,-132,-152,-21,-12,0,2024-01-29 16:38:03,0.0
4338,-195,-70,2,-96,-19,2024-01-29 16:38:04,0.0
4338,-166,-156,16,-62,-9,2024-01-29 16:38:04,0.0
4338,-130,-114,-26,-91,-1,2024-01-29 16:38:04,0.0
4229,-137,-122,-44,-34,24,2024-01-29 16:38:04,0.0
4498,-367,-163,-15,7,37,2024-01-29 16:38:04,0.0
4239,-78,1,-30,18,18,2024-01-29 16:38:04,0.0
4388,-225,-65,-24,1,10,2024-01-29 16:38:04,0.0
4304,-208,-57,-32,1,-8,2024-01-29 16:38:04,0.0
4274,-174,-88,-47,-36,-31,2024-01-29 16:38:04,0.0
4350,-103,-63,-93,-36,-38,2024-01-29 16:38:04,0.0
4359,-40,-151,-161,-35,-21,2024-01-29 16:38:04,0.0
4313,-89,-93,-256,-11,-4,2024-01-29 16:38:04,0.0
4385,-138,-142,-298,3,-1,2024-01-29 16:38:04,0.0
4353,-169,-127,-269,1,2,2024-01-29 16:38:04,0.0
4383,-177,-49,-246,23,8,2024-01-29 16:38:04,0.0
4358,-177,-92,-222,-42,-3,2024-01-29 16:38:04,0.0
4342,-128,-53,-216,-55,1,2024-01-29 16:38:04,0.0
4282,-149,-57,-201,-56,8,2024-01-29 16:38:05,0.0
4281,-88,-139,-177,-117,44,2024-01-29 16:38:05,0.0
4445,-328,-289,-120,-85,50,2024-01-29 16:38:05,0.0
4244,-38,-85,-129,-121,31,2024-01-29 16:38:05,0.0
4379,-200,-241,-131,-113,26,2024-01-29 16:38:05,0.0
4373,-193,-238,-138,-108,16,2024-01-29 16:38:05,0.0
4331,-169,-201,-93,-75,16,2024-01-29 16:38:05,0.0
4309,-164,-260,-80,-110,2,2024-01-29 16:38:05,0.0
4360,-152,-350,-90,-126,-11,2024-01-29 16:38:05,0.0
4324,-225,-236,-58,-120,6,2024-01-29 16:38:05,0.0
4366,-185,-279,-25,-96,-6,2024-01-29 16:38:05,0.0
4328,-203,-314,20,-68,-13,2024-01-29 16:38:05,0.0
4268,-106,-313,36,-112,-38,2024-01-29 16:38:05,0.0
4412,-222,-547,57,-119,-9,2024-01-29 16:38:05,0.0
4245,-26,-409,74,-53,-8,2024-01-29 16:38:05,0.0
4349,-212,-310,46,-3,18,2024-01-29 16:38:05,0.0
4369,-279,-429,100,-30,27,2024-01-29 16:38:05,0.0
4274,-82,-345,117,40,11,2024-01-29 16:38:05,0.0
4375,-161,-221,67,39,6,2024-01-29 16:38:06,0.0
4331,-207,-291,41,54,0,2024-01-29 16:38:06,0.0
4333,-169,-376,29,-8,15,2024-01-29 16:38:06,0.0
4383,-190,-312,34,42,24,2024-01-29 16:38:06,0.0
4279,-154,-208,49,3,22,2024-01-29 16:38:06,0.0
4322,-242,-239,40,-4,24,2024-01-29 16:38:06,0.0
4348,-153,-237,78,3,7,2024-01-29 16:38:06,0.0
4240,-152,-212,95,-26,-2,2024-01-29 16:38:06,0.0
4466,-165,-439,96,-38,12,2024-01-29 16:38:06,0.0
4321,-25,-168,26,-3,2,2024-01-29 16:38:06,0.0
4399,-223,-221,-33,-9,10,2024-01-29 16:38:06,0.0
4304,-162,-199,19,27,10,2024-01-29 16:38:06,0.0
4357,-98,-207,-3,25,12,2024-01-29 16:38:06,0.0
4318,-107,-155,-48,29,12,2024-01-29 16:38:06,0.0
4299,-169,-137,-65,-6,9,2024-01-29 16:38:06,0.0
4339,-179,-146,-65,-38,7,2024-01-29 16:38:06,0.0
4294,-150,-221,-78,-48,10,2024-01-29 16:38:06,0.0
4363,-169,-225,-87,-9,3,2024-01-29 16:38:07,0.0
4345,-208,-218,-69,-28,3,2024-01-29 16:38:07,0.0
4306,-191,-214,-54,-40,10,2024-01-29 16:38:07,0.0
4307,-138,-275,-73,-44,6,2024-01-29 16:38:07,0.0
4336,-131,-264,-141,-56,-5,2024-01-29 16:38:07,0.0
4347,-213,-264,-125,-41,12,2024-01-29 16:38:07,0.0
4347,-248,-204,-115,-20,19,2024-01-29 16:38:07,0.0
4365,-220,-244,-123,-17,18,2024-01-29 16:38:07,0.0
4371,-242,-275,-76,8,13,2024-01-29 16:38:07,0.0
4300,-226,-244,-69,-47,16,2024-01-29 16:38:07,0.0
4330,-230,-301,-52,-24,14,2024-01-29 16:38:07,0.0
4302,-200,-279,-63,-53,3,2024-01-29 16:38:07,0.0
4231,-52,-180,-144,-61,-16,2024-01-29 16:38:07,0.0
4442,-101,-198,-211,-94,-18,2024-01-29 16:38:07,0.0
4285,-161,-121,-175,-39,-5,2024-01-29 16:38:07,0.0
4309,-117,-115,-193,-67,-11,2024-01-29 16:38:07,0.0
4389,-200,-108,-61,-17,1,2024-01-29 16:38:07,0.0
4329,208,84,-143,23,-35,2024-01-29 16:38:07,0.0
4278,-176,39,-151,-5,-3,2024-01-29 16:38:08,0.0
4227,-231,55,-42,16,71,2024-01-29 16:38:08,0.0
4249,-2,170,-38,-128,3,2024-01-29 16:38:08,0.0
4305,-154,155,-39,-113,38,2024-01-29 16:38:08,0.0
4117,-101,287,-34,-170,53,2024-01-29 16:38:08,0.0
3865,18,175,-115,-122,96,2024-01-29 16:38:08,0.0
3633,-341,233,-64,-215,97,2024-01-29 16:38:08,0.0
3111,-274,424,-58,-400,-15,2024-01-29 16:38:08,0.0
4240,252,194,-297,23,19,2024-01-29 16:38:08,0.0
3852,-47,187,-535,-597,-9,2024-01-29 16:38:08,
3943,-740,-457,-434,-698,141,2024-01-29 16:38:08,0.0
3363,-476,765,126,-787,-19,2024-01-29 16:38:08,0.0
1931,352,-917,-171,-406,-88,2024-01-29 16:38:08,0.0
1466,-518,-785,-162,-1735,-384,2024-01-29 16:38:08,0.0
1417,-198,-714,167,-2984,-472,2024-01-29 16:38:08,0.0
4922,-560,-1800,599,-3189,-263,2024-01-29 16:38:08,0.0
5362,105,-7537,698,-3954,-486,2024-01-29 16:38:08,0.0
8196,-347,-5897,448,-3678,9,2024-01-29 16:38:09,0.0
1544,572,-683,-225,-2705,-42,2024-01-29 16:38:09,0.0
-766,-805,-1933,-210,-619,194,2024-01-29 16:38:09,0.0
-948,-346,-1166,-361,-2446,127,2024-01-29 16:38:09,0.0
-1596,-391,-9237,-66,-78,-53,2024-01-29 16:38:09,0.0
-115,355,-13135,455,4199,-123,2024-01-29 16:38:09,0.0
-6056,-84,-8992,-163,-235,313,2024-01-29 16:38:09,0.0
-837,213,-3688,-424,-960,-2,2024-01-29 16:38:09,0.0
130,-368,-3391,-176,-301,-122,2024-01-29 16:38:09,0.0
400,81,-2857,-2,-83,-100,2024-01-29 16:38:09,0.0
264,-373,-3520,-66,286,16,2024-01-29 16:38:09,0.0
355,138,-4756,115,490,-57,2024-01-29 16:38:09,0.0
844,279,-5168,-60,199,-56,2024-01-29 16:38:09,0.0
508,-163,-4728,5,29,-76,2024-01-29 16:38:09,0.0
888,44,-4159,51,-93,-21,2024-01-29 16:38:09,0.0
780,60,-3825,-25,3,-31,2024-01-29 16:38:09,0.0
600,103,-4032,-70,-10,-10,2024-01-29 16:38:09,0.0
603,9,-4248,12,-71,-20,2024-01-29 16:38:09,0.0
617,-5,-4139,34,-19,-18,2024-01-29 16:38:10,0.0
696,-66,-4176,-84,-11,9,2024-01-29 16:38:10,0.0
683,-9,-4208,-21,-20,-6,2024-01-29 16:38:10,0.0
572,-105,-4162,4,-56,-2,2024-01-29 16:38:10,0.0
611,-44,-4240,-44,-64,4,2024-01-29 16:38:10,0.0
567,-22,-4165,-92,-57,14,2024-01-29 16:38:10,0.0
581,-63,-4175,-45,-137,-12,2024-01-29 16:38:10,0.0
591,-41,-4232,-50,-130,8,2024-01-29 16:38:10,0.0
553,-33,-4236,-32,-146,8,2024-01-29 16:38:10,0.0
474,-26,-4302,-43,-75,20,2024-01-29 16:38:10,0.0
520,-47,-4222,-66,-28,21,2024-01-29 16:38:10,0.0
496,-51,-4170,-60,-4,6,2024-01-29 16:38:10,0.0
508,8,-4154,-74,-21,6,2024-01-29 16:38:10,0.0
500,15,-4214,-70,-12,16,2024-01-29 16:38:10,0.0
537,49,-4145,-43,-56,14,2024-01-29 16:38:10,0.0
491,-14,-4183,-65,-76,13,2024-01-29 16:38:10,0.0
498,16,-4207,-79,-43,9,2024-01-29 16:38:10,0.0
493,2,-4240,-83,3,14,2024-01-29 16:38:11,0.0
489,10,-4216,-58,-22,6,2024-01-29 16:38:11,0.0
526,50,-4136,-53,-39,10,2024-01-29 16:38:11,0.0
497,15,-4167,-55,-17,12,2024-01-29 16:38:11,0.0
548,8,-4214,-39,-17,6,2024-01-29 16:38:11,0.0
504,58,-4217,-43,21,9,2024-01-29 16:38:11,0.0
495,24,-4177,-35,27,10,2024-01-29 16:38:11,0.0
481,63,-4202,-56,-49,9,2024-01-29 16:38:11,0.0
515,-21,-4140,-49,35,17,2024-01-29 16:38:11,0.0
620,72,-4216,-57,0,18,2024-01-29 16:38:11,0.0
556,12,-4192,-61,4,14,2024-01-29 16:38:11,0.0
553,74,-4234,-55,-16,12,2024-01-29 16:38:11,0.0
534,90,-4215,-52,-25,5,2024-01-29 16:38:11,0.0
559,29,-4100,-14,-53,2,2024-01-29 16:38:11,0.0
545,79,-4186,-62,-13,8,2024-01-29 16:38:11,0.0
596,38,-4260,-30,-2,11,2024-01-29 16:38:11,0.0
626,90,-4203,-80,-10,24,2024-01-29 16:38:11,0.0
530,96,-4160,-53,-109,13,2024-01-29 16:38:11,0.0
542,57,-4180,-63,-105,11,2024-01-29 16:38:12,0.0
524,119,-4290,-46,6,16,2024-01-29 16:38:12,0.0
570,148,-4270,-48,-48,6,2024-01-29 16:38:12,0.0
490,66,-4127,-81,-26,24,2024-01-29 16:38:12,0.0
512,58,-4174,-50,-19,25,2024-01-29 16:38:12,0.0
557,113,-4158,-50,-32,21,2024-01-29 16:38:12,0.0
519,76,-4208,-72,-36,23,2024-01-29 16:38:12,0.0
497,90,-4308,-31,-26,8,2024-01-29 16:38:12,0.0
535,142,-4220,-35,-28,9,2024-01-29 16:38:12,0.0
545,115,-4166,-22,-43,2,2024-01-29 16:38:12,0.0
529,186,-4169,-40,-31,17,2024-01-29 16:38:12,0.0
481,135,-4225,-48,-56,19,2024-01-29 16:38:12,0.0
537,130,-4175,-43,-12,9,2024-01-29 16:38:12,0.0
613,105,-4069,-30,-38,4,2024-01-29 16:38:12,0.0
519,108,-4152,-37,-7,16,2024-01-29 16:38:12,0.0
496,131,-4181,-53,-29,10,2024-01-29 16:38:12,0.0
428,127,-4405,6,115,0,2024-01-29 16:38:12,0.0
709,128,-4055,-43,-54,9,2024-01-29 16:38:13,0.0
504,64,-4271,-32,62,11,2024-01-29 16:38:13,0.0
662,128,-4084,-40,19,16,2024-01-29 16:38:13,0.0
670,97,-4138,-53,-3,16,2024-01-29 16:38:13,0.0
575,99,-4153,-45,-37,11,2024-01-29 16:38:13,0.0
554,90,-4247,-28,-15,10,2024-01-29 16:38:13,0.0
585,93,-4264,-47,-14,12,2024-01-29 16:38:13,0.0
623,63,-4172,-37,-17,8,2024-01-29 16:38:13,0.0
618,134,-4122,-38,-2,8,2024-01-29 16:38:13,0.0
626,96,-4143,-27,-20,5,2024-01-29 16:38:13,0.0
603,123,-4196,-28,-35,4,2024-01-29 16:38:13,0.0
626,77,-4164,-20,-47,-4,2024-01-29 16:38:13,0.0
594,110,-4222,-20,-11,-7,2024-01-29 16:38:13,0.0
600,54,-4182,-24,-43,4,2024-01-29 16:38:13,0.0
606,101,-4153,-42,-46,10,2024-01-29 16:38:13,0.0
581,77,-4168,-35,-20,5,2024-01-29 16:38:13,0.0
565,109,-4195,-36,-10,11,2024-01-29 16:38:13,0.0
603,90,-4228,-36,-23,8,2024-01-29 16:38:13,0.0
607,78,-4162,-53,-31,14,2024-01-29 16:38:14,0.0
595,84,-4137,-30,-57,6,2024-01-29 16:38:14,0.0
581,64,-4166,-11,-37,-8,2024-01-29 16:38:14,0.0
589,84,-4220,-30,-31,4,2024-01-29 16:38:14,0.0
614,93,-4254,-45,-7,13,2024-01-29 16:38:14,
625,57,-4127,-37,-20,13,2024-01-29 16:38:14,0.0
594,64,-4167,-42,-32,7,2024-01-29 16:38:14,0.0
615,84,-4188,-49,-43,10,2024-01-29 16:38:14,0.0
591,88,-4211,-46,-45,13,2024-01-29 16:38:14,0.0
623,101,-4172,-43,-53,12,2024-01-29 16:38:14,0.0
581,101,-4153,-59,-61,15,2024-01-29 16:38:14,0.0
583,133,-4179,-53,-108,12,2024-01-29 16:38:14,0.0
552,77,-4240,-46,-112,17,2024-01-29 16:38:14,0.0
538,63,-4253,-53,-64,13,2024-01-29 16:38:14,0.0
500,76,-4209,-50,-39,11,2024-01-29 16:38:14,0.0
539,85,-4230,-26,-44,3,2024-01-29 16:38:14,0.0
599,137,-4148,-28,-32,15,2024-01-29 16:38:14,0.0
583,68,-4159,-29,-60,15,2024-01-29 16:38:15,0.0
483,115,-4242,-25,-44,4,2024-01-29 16:38:15,0.0
518,148,-4202,-37,-13,13,2024-01-29 16:38:15,0.0
513,77,-4244,-69,-35,16,2024-01-29 16:38:15,0.0
527,46,-4143,-37,-26,8,2024-01-29 16:38:15,0.0
520,86,-4163,-10,-23,1,2024-01-29 16:38:15,0.0
519,107,-4161,-37,-38,10,2024-01-29 16:38:15,0.0
497,50,-4205,-39,-28,6,2024-01-29 16:38:15,0.0
523,68,-4165,-31,-15,11,2024-01-29 16:38:15,0.0
516,152,-4150,-33,-15,7,2024-01-29 16:38:15,0.0
524,79,-4170,-33,-38,6,2024-01-29 16:38:15,0.0
521,88,-4208,-40,-14,13,2024-01-29 16:38:15,0.0
519,117,-4182,-30,-21,5,2024-01-29 16:38:15,0.0
511,60,-4233,-38,5,9,2024-01-29 16:38:15,0.0
510,48,-4231,-52,28,6,2024-01-29 16:38:15,0.0
549,80,-4103,-71,1,6,2024-01-29 16:38:15,0.0
531,122,-4243,-38,34,16,2024-01-29 16:38:15,0.0
592,114,-4147,-56,-15,15,2024-01-29 16:38:15,0.0
568,114,-4186,-54,-6,17,2024-01-29 16:38:16,0.0
546,116,-4302,-78,8,25,2024-01-29 16:38:16,0.0
572,124,-4141,-51,-52,13,2024-01-29 16:38:16,0.0
656,102,-4072,-61,-61,7,2024-01-29 16:38:16,0.0
523,47,-4175,-44,17,18,2024-01-29 16:38:16,0.0
536,157,-4134,-44,-48,16,2024-01-29 16:38:16,0.0
637,141,-4146,-59,-73,19,2024-01-29 16:38:16,0.0
557,150,-4221,-41,-49,3,2024-01-29 16:38:16,0.0
556,158,-4189,-40,-51,4,2024-01-29 16:38:16,0.0
537,166,-4206,-72,-65,17,2024-01-29 16:38:16,0.0
519,200,-4241,-11,-25,1,2024-01-29 16:38:16,0.0
552,114,-4187,-65,-14,23,2024-01-29 16:38:16,0.0
559,152,-4222,-47,-11,9,2024-01-29 16:38:16,0.0
560,129,-4154,-46,-27,15,2024-01-29 16:38:16,0.0
526,103,-4182,-33,-16,1,2024-01-29 16:38:16,0.0
537,135,-4168,-41,-40,11,2024-01-29 16:38:16,0.0
544,124,-4242,-34,-53,6,2024-01-29 16:38:16,0.0
553,142,-4190,-34,-55,6,2024-01-29 16:38:17,0.0
550,145,-4194,-44,-41,16,2024-01-29 16:38:17,0.0
521,120,-4189,-39,-52,6,2024-01-29 16:38:17,0.0
480,140,-4243,-36,-27,8,2024-01-29 16:38:17,0.0
516,147,-4158,-44,-24,9,2024-01-29 16:38:17,0.0
506,129,-4267,-32,-22,9,2024-01-29 16:38:17,0.0
547,152,-4118,-25,-26,8,2024-01-29 16:38:17,0.0
569,110,-4191,-26,-5,4,2024-01-29 16:38:17,0.0
502,123,-4204,-34,-20,10,2024-01-29 16:38:17,0.0
519,119,-4177,-40,-26,9,2024-01-29 16:38:17,0.0
527,135,-4192,-31,-3,6,2024-01-29 16:38:17,0.0
556,123,-4150,-32,-24,10,2024-01-29 16:38:17,0.0
513,119,-4155,-27,-68,3,2024-01-29 16:38:17,0.0
477,124,-4196,-17,-72,-1,2024-01-29 16:38:17,0.0
510,119,-4202,-31,-63,2,2024-01-29 16:38:17,0.0
472,146,-4202,-50,-7,12,2024-01-29 16:38:17,0.0
513,111,-4161,-56,-6,15,2024-01-29 16:38:17,0.0
515,124,-4175,-30,-82,5,2024-01-29 16:38:18,0.0
482,103,-4204,-17,-100,0,2024-01-29 16:38:18,0.0
446,124,-4249,-29,-70,9,2024-01-29 16:38:18,0.0
431,100,-4226,-46,-21,6,2024-01-29 16:38:18,0.0
446,114,-4157,-52,-10,9,2024-01-29 16:38:18,0.0
466,88,-4148,-31,-39,2,2024-01-29 16:38:18,0.0
429,116,-4200,-53,-32,11,2024-01-29 16:38:18,0.0
467,115,-4255,-41,-18,10,2024-01-29 16:38:18,0.0
481,100,-4211,-52,4,17,2024-01-29 16:38:18,0.0
472,96,-4113,-46,21,9,2024-01-29 16:38:18,0.0
521,130,-4189,-48,-10,2,2024-01-29 16:38:18,0.0
490,117,-4198,-22,-48,2,2024-01-29 16:38:18,0.0
465,120,-4196,-33,-33,7,2024-01-29 16:38:18,0.0
486,107,-4133,-34,-36,9,2024-01-29 16:38:18,0.0
476,126,-4292,-57,19,13,2024-01-29 16:38:18,0.0
483,87,-4150,-80,52,23,2024-01-29 16:38:18,0.0
519,123,-4113,-29,-12,5,2024-01-29 16:38:18,0.0
502,154,-4164,-50,-38,6,2024-01-29 16:38:18,0.0
522,123,-4150,-40,-49,8,2024-01-29 16:38:19,0.0
517,87,-4264,11,24,2,2024-01-29 16:38:19,0.0
493,130,-4217,-12,-2,8,2024-01-29 16:38:19,0.0
541,107,-4169,-25,-17,6,2024-01-29 16:38:19,0.0
558,132,-4142,-40,-20,13,2024-01-29 16:38:19,0.0
550,133,-4205,-61,-28,5,2024-01-29 16:38:19,0.0
514,136,-4153,-68,-68,6,2024-01-29 16:38:19,0.0
508,128,-4222,-52,-61,12,2024-01-29 16:38:19,0.0
496,141,-4205,-32,-13,17,2024-01-29 16:38:19,0.0
543,162,-4230,-47,64,28,2024-01-29 16:38:19,0.0
324,220,-4513,-13,93,39,2024-01-29 16:38:19,0.0
74,582,-4814,230,-101,2,2024-01-29 16:38:20,0.0
-66,856,-4849,0,-508,-72,2024-01-29 16:38:21,0.0
-101,749,-4167,66,-767,-227,2024-01-29 16:38:21,0.0
-332,405,-3957,169,-679,-435,2024-01-29 16:38:21,0.0
-189,-693,-4826,113,-201,-532,2024-01-29 16:38:21,0.0
-734,-1533,-4623,803,-428,-633,2024-01-29 16:38:21,0.0
400,-1218,-4313,1195,-341,-339,2024-01-29 16:38:21,
-121,-1291,-3973,1028,67,-393,2024-01-29 16:38:21,0.0
-349,-1796,-4354,842,-75,-209,2024-01-29 16:38:21,0.0
-374,-1710,-4189,515,-480,19,2024-01-29 16:38:21,0.0
2226,1041,-3456,137,1388,-281,2024-01-29 16:38:21,0.0
2169,149,-3718,-124,1206,-244,2024-01-29 16:38:21,0.0
3548,362,-3073,-3,1257,-172,2024-01-29 16:38:21,0.0
3601,98,-3432,-91,1168,-29,2024-01-29 16:38:21,0.0
4042,280,-3116,-349,1499,65,2024-01-29 16:38:21,0.0
3116,349,-2193,-480,742,114,2024-01-29 16:38:21,0.0
3179,46,-2532,-243,96,92,2024-01-29 16:38:21,0.0
4545,-27,-3454,-47,-907,-163,2024-01-29 16:38:21,0.0
4394,-63,-4107,331,-1722,-273,2024-01-29 16:38:21,0.0
3702,224,-2943,274,-1658,-69,2024-01-29 16:38:21,0.0
2985,-266,-3231,403,-1356,-62,2024-01-29 16:38:21,0.0
3536,350,-3189,160,-791,-197,2024-01-29 16:38:21,0.0
3214,-62,-3797,17,-331,-127,2024-01-29 16:38:22,0.0
